File           Description
------------   ---------------------------------------
    linklint   the Perl source code
  inputs.htm   description of all input parameters
instruct.htm   instructions for checking large sites
   specs.htm   detailed specifications of site checking and output files
ordering.htm   ordering information
linkback.htm   example code linking back to the linklint site
linklint.gif   74 x 29 "checked by Linklint" logo
manifest.txt   this file
 changes.txt   recent changes and fixes
 windows.txt   Windows installation instructions
    unix.txt   Unix installation instructions
  example.in   An example command file
    debug.in   An example command file for debuging html tags
   remote.in   An example command file for rechecking remote urls
  hotlist.in   Tells you when the Linklint home page has changed
linklint.bat   (Windows only) batch file for running linklint as a command

Note: html files in the Unix distribution have an .html  extension.
